8,14,15,51,54,61,69,76,89,96
12,20,22,40,54,57,66,71,89,90
3,15,21,23,28,39,48,49,59,72
5,27,33,62,66,74,75,77,79,86
3,7,9,22,25,32,38,57,77,82
19,26,42,48,67,80,85,91,93,96
4,5,24,28,62,79,82,83,88,99
12,32,42,53,57,68,69,77,83,99
15,16,17,19,21,30,53,70,72,95
4,7,25,44,47,55,73,88,89,90
12,13,17,18,24,55,59,63,97,98
3,5,10,47,51,69,82,93,95,98
7,20,22,25,29,39,47,51,53,90
3,18,24,39,43,50,63,69,75,98
5,11,13,16,22,34,37,97,98,99
10,27,36,55,56,59,66,74,98,99
8,10,28,45,46,57,69,73,86,93
20,26,27,28,33,37,43,58,68,69
9,10,13,17,19,41,45,60,74,88
15,34,40,47,54,60,68,69,83,99
21,22,32,45,52,55,57,71,74,93
7,11,32,45,46,51,66,69,93,98
1,10,24,27,29,41,71,90,92,94
4,9,12,25,30,44,64,70,81,97
13,19,36,44,47,52,74,84,90,93
3,17,13,38,52,63,83,87,89,99
16,17,28,43,55,63,69,77,78,92
2,5,9,12,19,42,55,83,90,95
24,31,33,68,76,80,84,85,90,95
17,20,30,35,37,51,65,73,79,82
5,14,18,29,51,54,74,75,91,96
3,4,5,18,38,63,69,81,82,87
5,7,26,29,59,60,64,78,86,94
23,30,38,37,53,79,85,89,94,95
2,5,11,37,38,42,61,66,80,99
7,10,13,43,61,66,84,91,93,99
0,3,8,11,25,29,41,58,85,99
2,3,5,20,31,52,58,70,91,93
2,12,18,36,43,52,53,72,89,96
32,35,36,43,45,57,80,87,91,93
10,32,45,52,54,57,61,67,96,99
7,8,65,73,80,83,84,95,96,98
9,24,40,54,55,68,70,79,85,99
9,10,15,18,22,40,78,47,81,86
1,7,13,21,24,34,65,72,78,99
11,15,24,36,38,48,57,60,79,97
1,2,26,30,31,42,48,70,77,92
19,21,25,30,51,64,69,71,79,87
0,14,23,85,49,60,63,65,74,83
16,25,41,42,46,62,63,65,94,98
4,16,25,34,41,42,54,55,56,61
17,23,25,29,40,43,64,71,76,87
13,14,44,51,55,61,63,76,86,92
7,21,23,39,42,69,73,78,79,82
1,18,20,29,44,55,56,57,76,82
7,8,13,24,30,89,56,70,75,99
7,15,21,26,37,42,86,87,90,99
2,7,17,18,30,49,59,62,68,79
0,6,23,51,56,57,77,88,95,99
0,2,9,19,24,64,76,77,90,94
6,22,27,33,42,51,67,70,74,98
1,14,16,23,24,62,71,76,88,90
8,11,13,21,43,44,46,51,59,98
5,13,14,15,42,67,79,80,96,97
1,19,21,25,63,66,71,87,89,96
32,33,41,48,55,64,79,89,91,96
0,3,18,20,37,48,42,75,78,88
2,7,9,14,18,21,28,30,31,61
2,3,13,21,38,60,50,81,98,99
26,33,40,53,60,78,80,82,85,86
0,16,29,35,44,50,76,79,90,99
16,44,46,48,56,64,22,75,78,84
5,21,22,51,59,87,88,91,93,98
5,40,46,51,60,62,70,91,93,99
7,23,31,43,80,84,85,88,94,96
2,13,25,51,62,67,70,79,81,82
1,14,18,19,34,44,62,66,70,84
5,6,8,18,25,31,35,51,78,93
4,16,19,21,41,61,62,75,88,99
2,5,22,37,60,62,68,69,92,95
4,6,7,10,25,34,36,43,74,79
0,6,9,18,29,32,63,71,74,80
13,15,19,28,46,49,81,94,97,98
0,2,12,37,41,46,51,56,59,81
5,6,11,16,24,44,48,60,68,72
2,7,8,9,12,16,33,50,89,90
3,6,8,12,49,60,75,87,94,99
6,9,18,22,24,28,54,59,61,74
5,10,15,23,31,46,47,62,72,91
9,18,20,36,61,68,69,72,85,87
13,25,27,31,37,40,51,82,89,99
7,12,14,21,54,59,61,68,85,92
4,7,20,23,27,35,36,76,85,91
0,9,20,29,36,43,54,61,87,96
4,17,22,24,55,57,64,76,80,87
4,5,12,20,22,31,34,50,73,86
10,11,21,26,32,33,62,64,86,92
10,31,40,44,47,62,64,76,81,91
11,14,40,44,49,69,76,81,96,99
2,12,13,42,45,62,67,77,85,98
